,Title,genres,director_name,actor_name1,actor_name2,actor_name3,genres_director_actor
45,Foxtrot,Drama,Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonatan Shiray,Lior Ashkenazi Sarah Adler Yonatan Shiray Samuel Maoz Drama
46,Pickings,Thriller Action Crime Drama Mystery,Usher Morgan,Elyse Price,Joel Bernard,Katie Vincent,Elyse Price Joel Bernard Katie Vincent Usher Morgan Thriller Action Crime Drama Mystery
47,A Wrinkle in Time,Adventure Science Fiction Family Fantasy,Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Storm Reid Oprah Winfrey Reese Witherspoon Ava DuVernay Adventure Science Fiction Family Fantasy
48,Gringo,Comedy Action Crime,Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,David Oyelowo Charlize Theron Joel Edgerton Nash Edgerton Comedy Action Crime
49,Thoroughbreds,Drama Thriller,Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Olivia Cooke Anya Taylor-Joy Anton Yelchin Cory Finley Drama Thriller
50,The Death of Stalin,Comedy Drama History,Armando Iannucci,Steve Buscemi,Simon Russell Beale,Paddy Considine,Steve Buscemi Simon Russell Beale Paddy Considine Armando Iannucci Comedy Drama History
51,The Leisure Seeker,Drama Romance Adventure,Paolo Virzì,Donald Sutherland,Helen Mirren,,
52,The Strangers: Prey at Night,Horror,Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Christina Hendricks Martin Henderson Bailee Madison Johannes Roberts Horror
53,The Hurricane Heist,Action Crime Thriller,Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Toby Kebbell Maggie Grace Ryan Kwanten Rob Cohen Action Crime Thriller
54,Tomb Raider,Action Adventure Fantasy,Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Alicia Vikander Dominic West Walton Goggins Roar Uthaug Action Adventure Fantasy
55,"Love, Simon",Comedy Drama Romance,Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp,Nick Robinson Katherine Langford Alexandra Shipp Greg Berlanti Comedy Drama Romance
56,I Can Only Imagine,Music Drama,Jon Erwin,Cloris Leachman,Dennis Quaid,Priscilla Shirer,Cloris Leachman Dennis Quaid Priscilla Shirer Jon Erwin Music Drama
57,7 Days in Entebbe,Thriller Drama Crime,José Padilha,Rosamund Pike,Daniel Brühl,Vincent Cassel,Rosamund Pike Daniel Brühl Vincent Cassel José Padilha Thriller Drama Crime
58,Furlough,Comedy,Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony,Melissa Leo Tessa Thompson La La Anthony Laurie Collyer Comedy
59,Josie,Thriller Drama,Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Sophie Turner Dylan McDermott Jack Kilmer Eric England Thriller Drama
60,Flower,Comedy Drama,Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Zoey Deutch Kathryn Hahn Tim Heidecker Max Winkler Comedy Drama
61,Pacific Rim: Uprising,Action Fantasy Science Fiction Adventure,Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,John Boyega Scott Eastwood Cailee Spaeny Steven S. DeKnight Action Fantasy Science Fiction Adventure
62,Isle of Dogs,Adventure Comedy Animation,Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Bryan Cranston Edward Norton Bill Murray Wes Anderson Adventure Comedy Animation
63,Sherlock Gnomes,Animation Family Fantasy Comedy Adventure Mystery,John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,James McAvoy Emily Blunt Johnny Depp John Stevenson Animation Family Fantasy Comedy Adventure Mystery
64,Unsane,Horror Thriller,Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Claire Foy Joshua Leonard Jay Pharoah Steven Soderbergh Horror Thriller
65,"Paul, Apostle of Christ",Drama History,Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,James Faulkner Jim Caviezel Olivier Martinez Andrew Hyatt Drama History
66,Final Portrait,History Drama,Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,Geoffrey Rush Armie Hammer Clémence Poésy Stanley Tucci History Drama
67,Midnight Sun,Romance Drama,Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Bella Thorne Patrick Schwarzenegger Rob Riggle Scott Speer Romance Drama
68,Followers,Comedy Horror,Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria,Amanda Delaney Justin Maina Sean Michael Gloria Ryan Justice Comedy Horror
69,Ready Player One,Science Fiction Adventure Action,Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Tye Sheridan Olivia Cooke Ben Mendelsohn Steven Spielberg Science Fiction Adventure Action
70,Tyler Perry's Acrimony,Thriller,Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter,Taraji P. Henson Lyriq Bent Tika Sumpter Tyler Perry Thriller
71,God's Not Dead: A Light in Darkness,Drama,Michael Mason,David A. R. White,John Corbett,Shane Harper,David A. R. White John Corbett Shane Harper Michael Mason Drama
72,Gemini,Mystery Crime Drama Thriller,Aaron Katz,Lola Kirke,Zoë Kravitz,Greta Lee,Lola Kirke Zoë Kravitz Greta Lee Aaron Katz Mystery Crime Drama Thriller
73,The Last Movie Star,Drama,Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Burt Reynolds Ariel Winter Clark Duke Adam Rifkin Drama
74,A Quiet Place,Horror Drama Science Fiction,John Krasinski,John Krasinski,Emily Blunt,Millicent Simmonds,John Krasinski Emily Blunt Millicent Simmonds John Krasinski Horror Drama Science Fiction
75,Blockers,Comedy,Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Leslie Mann Ike Barinholtz John Cena Kay Cannon Comedy
76,You Were Never Really Here,Crime Drama Thriller,Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette,Joaquin Phoenix Ekaterina Samsonov Alex Manette Lynne Ramsay Crime Drama Thriller
77,Chappaquiddick,History Drama Thriller,John Curran,Jason Clarke,Kate Mara,Ed Helms,Jason Clarke Kate Mara Ed Helms John Curran History Drama Thriller
78,Pandas,Documentary,"Drew Fellman, David Douglas",Kristen Bell,,,
79,Lean on Pete,Drama Adventure,Andrew Haigh,Charlie Plummer,Chloë Sevigny,Travis Fimmel,Charlie Plummer Chloë Sevigny Travis Fimmel Andrew Haigh Drama Adventure
80,The Miracle Season,Drama,Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty,Helen Hunt William Hurt Erin Moriarty Sean McNamara Drama
81,Beirut,Action Thriller Drama,Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Jon Hamm Rosamund Pike Dean Norris Brad Anderson Action Thriller Drama
82,Rampage,Action Adventure Science Fiction,Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Åkerman,Dwayne Johnson Naomie Harris Malin Åkerman Brad Peyton Action Adventure Science Fiction
83,Truth or Dare,Thriller Horror,Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Lucy Hale Tyler Posey Violett Beane Jeff Wadlow Thriller Horror
84,The Rider,Drama Western,Chloé Zhao,Brady Jandreau,,,
85,Sgt. Stubby: An American Hero,Animation Adventure Family History War,Richard Lanni,Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Logan Lerman Helena Bonham Carter Gérard Depardieu Richard Lanni Animation Adventure Family History War
86,I Feel Pretty,Comedy Romance,"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski,"Amy Schumer Michelle Williams Emily Ratajkowski Abby Kohn, Marc Silverstein Comedy Romance"
87,Super Troopers 2,Comedy Crime Mystery,Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme,Jay Chandrasekhar Paul Soter Steve Lemme Jay Chandrasekhar Comedy Crime Mystery
88,Traffik,Horror Thriller,Deon Taylor,Paula Patton,Omar Epps,Missi Pyle,Paula Patton Omar Epps Missi Pyle Deon Taylor Horror Thriller
89,The House of Tomorrow,Drama Comedy,Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn,Asa Butterfield Nick Offerman Ellen Burstyn Peter Livolsi Drama Comedy
90,Liz and the Blue Bird,Animation Drama Music,Naoko Yamada,Atsumi Tanezaki,Nao Tōyama,,
91,Avengers: Infinity War,Adventure Action Science Fiction,Anthony Russo and Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Anthony Russo and Joe Russo Adventure Action Science Fiction
92,Disobedience,Drama Romance,Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Rachel Weisz Rachel McAdams Alessandro Nivola Sebastián Lelio Drama Romance
93,Backstabbing for Beginners,Thriller Drama History,Per Fly,Ben Kingsley,Theo James,Jacqueline Bisset,Ben Kingsley Theo James Jacqueline Bisset Per Fly Thriller Drama History
94,Kings,Action Adventure History Drama War,Deniz Gamze Ergüven,Halle Berry,Daniel Craig,,
95,Overboard,Romance Comedy,"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",Anna Faris,Eugenio Derbez,Eva Longoria,"Anna Faris Eugenio Derbez Eva Longoria Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez Romance Comedy"
96,Tully,Comedy Drama,Jason Reitman,Charlize Theron,Mackenzie Davis,Mark Duplass,Charlize Theron Mackenzie Davis Mark Duplass Jason Reitman Comedy Drama
97,Bad Samaritan,Thriller Crime Horror,Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,David Tennant Robert Sheehan Carlito Olivero Dean Devlin Thriller Crime Horror
98,The Cleanse,Drama Comedy Fantasy Horror,Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Johnny Galecki Anna Friel Oliver Platt Bobby Miller Drama Comedy Fantasy Horror
99,The Guardians,Science Fiction Adventure Action,Xavier Beauvois,Nathalie Baye,,,
100,Life of the Party,Comedy,Ben Falcone,Melissa McCarthy,Maya Rudolph,Molly Gordon,Melissa McCarthy Maya Rudolph Molly Gordon Ben Falcone Comedy
101,Breaking In,Thriller Crime Action,James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,Gabrielle Union Billy Burke Richard Cabral James McTeigue Thriller Crime Action
102,The Seagull,Drama Romance Comedy,Michael Mayer,Saoirse Ronan,Annette Bening,Corey Stoll,Saoirse Ronan Annette Bening Corey Stoll Michael Mayer Drama Romance Comedy
103,Terminal,Crime Drama Thriller,Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Margot Robbie Simon Pegg Dexter Fletcher Vaughn Stein Crime Drama Thriller
104,Revenge,Action Thriller Horror,Coralie Fargeat,Matilda Lutz,Kevin Janssens,Vincent Colombe,Matilda Lutz Kevin Janssens Vincent Colombe Coralie Fargeat Action Thriller Horror
105,Deadpool 2,Action Comedy Adventure,David Leitch,Ryan Reynolds,Josh Brolin,Zazie Beetz,Ryan Reynolds Josh Brolin Zazie Beetz David Leitch Action Comedy Adventure
106,Book Club,Romance Comedy Drama,Bill Holderman,Jane Fonda,Candice Bergen,Mary Steenburgen,Jane Fonda Candice Bergen Mary Steenburgen Bill Holderman Romance Comedy Drama
107,First Reformed,Drama,Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric Kyles,Ethan Hawke Amanda Seyfried Cedric Kyles Paul Schrader Drama
108,Pope Francis: A Man of His Word,Documentary,Wim Wenders,Wim Wenders (director); Pope Francis,,,
109,Show Dogs,Adventure Crime Family Comedy,Raja Gosnell,Will Arnett,Natasha Lyonne,Ludacris,Will Arnett Natasha Lyonne Ludacris Raja Gosnell Adventure Crime Family Comedy
110,Solo: A Star Wars Story,Science Fiction Adventure Action,Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Alden Ehrenreich Woody Harrelson Emilia Clarke Ron Howard Science Fiction Adventure Action
111,How to Talk to Girls at Parties,Comedy Music Romance Science Fiction,John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman,Elle Fanning Alex Sharp Nicole Kidman John Cameron Mitchell Comedy Music Romance Science Fiction
112,In Darkness,Thriller Mystery,Anthony Byrne,Natalie Dormer,Emily Ratajkowski,Ed Skrein,Natalie Dormer Emily Ratajkowski Ed Skrein Anthony Byrne Thriller Mystery
113,The Misandrists,Drama,Bruce LaBruce,Susanne Sachße,Viva Ruiz,Kembra Pfahler,Susanne Sachße Viva Ruiz Kembra Pfahler Bruce LaBruce Drama
114,Future World,Science Fiction,"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,Jeffrey Wahlberg,"James Franco Suki Waterhouse Jeffrey Wahlberg James Franco, Bruce Thierry Cheung Science Fiction"
115,Action Point,Comedy,Tim Kirkby,Johnny Knoxville,Chris Pontius,,
116,Adrift,Thriller Romance Adventure,Baltasar Kormákur,Shailene Woodley,Sam Claflin,,
117,Upgrade,Action Thriller Science Fiction,Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Logan Marshall-Green Betty Gabriel Harrison Gilbertson Leigh Whannell Action Thriller Science Fiction
118,American Animals,Drama Crime Documentary,Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Evan Peters Barry Keoghan Blake Jenner Bart Layton Drama Crime Documentary
119,Social Animals,Comedy Romance,Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Noël Wells Josh Radnor Aya Cash Theresa Bennett Comedy Romance
120,Ocean's 8,Crime Comedy,Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Sandra Bullock Cate Blanchett Anne Hathaway Gary Ross Crime Comedy
121,Won't You Be My Neighbor?,Documentary,Morgan Neville,Morgan Neville (director); Fred Rogers,,,
122,Hereditary,Horror Mystery Thriller,Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Toni Collette Alex Wolff Milly Shapiro Ari Aster Horror Mystery Thriller
123,Hotel Artemis,Thriller Science Fiction Action,Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Jodie Foster Sterling K. Brown Sofia Boutella Drew Pearce Thriller Science Fiction Action
124,Superfly,Action Crime,Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Trevor Jackson Jason Mitchell Michael K. Williams Director X Action Crime
125,Incredibles 2,Action Adventure Animation Family,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Craig T. Nelson Holly Hunter Sarah Vowell Brad Bird Action Adventure Animation Family
126,Tag,Comedy Action,Jeff Tomsic,Ed Helms,Jeremy Renner,Jon Hamm,Ed Helms Jeremy Renner Jon Hamm Jeff Tomsic Comedy Action
127,On Chesil Beach,Drama Romance,Dominic Cooke,Saoirse Ronan,Billy Howle,Emily Watson,Saoirse Ronan Billy Howle Emily Watson Dominic Cooke Drama Romance
128,Gotti,Crime Drama History Thriller,Kevin Connolly,John Travolta,Kelly Preston,Stacy Keach,John Travolta Kelly Preston Stacy Keach Kevin Connolly Crime Drama History Thriller
129,Jurassic World: Fallen Kingdom,Action Adventure Science Fiction Thriller,J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Chris Pratt Bryce Dallas Howard Rafe Spall J.A. Bayona Action Adventure Science Fiction Thriller
130,Boundaries,Comedy Drama,Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Vera Farmiga Christopher Plummer Lewis MacDougall Shana Feste Comedy Drama
131,Damsel,Comedy Western,"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",Robert Pattinson,Mia Wasikowska,,
132,The Domestics,Thriller Horror,Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Tyler Hoechlin Kate Bosworth Lance Reddick Mike P. Nelson Thriller Horror
133,Sicario: Day of the Soldado,Action Crime Drama Thriller,Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Moner,Benicio del Toro Josh Brolin Isabela Moner Stefano Sollima Action Crime Drama Thriller
134,Leave No Trace,Drama,Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Ben Foster Thomasin McKenzie Jeff Kober Debra Granik Drama
135,Uncle Drew,Comedy,Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Kyrie Irving Lil Rel Howery Shaquille O'Neal Charles Stone III Comedy
136,Woman Walks Ahead,Drama History Western,Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Jessica Chastain Michael Greyeyes Chaske Spencer Susanna White Drama History Western
137,The First Purge,Horror Action Thriller,Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Y'lan Noel Lex Scott Davis Joivan Wade Gerard McMurray Horror Action Thriller
138,Ant-Man and the Wasp,Action Adventure Science Fiction,Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Paul Rudd Evangeline Lilly Michael Peña Peyton Reed Action Adventure Science Fiction
139,Sorry to Bother You,Fantasy Science Fiction Comedy,Boots Riley,Lakeith Stanfield,Tessa Thompson,Armie Hammer,Lakeith Stanfield Tessa Thompson Armie Hammer Boots Riley Fantasy Science Fiction Comedy
140,Whitney,Music Documentary,Kevin MacDonald,Whitney Houston,,,
141,Hotel Transylvania 3: Summer Vacation,Animation Comedy Family Fantasy,Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Adam Sandler Andy Samberg Selena Gomez Genndy Tartakovsky Animation Comedy Family Fantasy
142,Skyscraper,Action Thriller,Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Dwayne Johnson Neve Campbell Chin Han Rawson Marshall Thurber Action Thriller
143,Eighth Grade,Comedy Drama,Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Elsie Fisher Josh Hamilton Emily Robinson Bo Burnham Comedy Drama
144,"Don't Worry, He Won't Get Far on Foot",Comedy Drama,Gus Van Sant,Joaquin Phoenix,Rooney Mara,Jonah Hill,Joaquin Phoenix Rooney Mara Jonah Hill Gus Van Sant Comedy Drama
145,Shock and Awe,History Drama Thriller,Rob Reiner,Woody Harrelson,Tommy Lee Jones,James Marsden,Woody Harrelson Tommy Lee Jones James Marsden Rob Reiner History Drama Thriller
146,Mamma Mia! Here We Go Again,Comedy Romance,Ol Parker,Lily James,Amanda Seyfried,Pierce Brosnan,Lily James Amanda Seyfried Pierce Brosnan Ol Parker Comedy Romance
