,Title,genres,director_name,actor_name1,actor_name2,actor_name3,genres_director_actor
24,the golden compass,Adventure Family Fantasy,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy
25,king kong,Action Adventure Drama Romance,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Naomi Watts Thomas Kretschmann Evan Parke Peter Jackson Action Adventure Drama Romance
26,titanic,Drama Romance,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance
27,captain america civil war,Action Adventure Sci-Fi,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Sci-Fi
28,battleship,Action Adventure Sci-Fi Thriller,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi Thriller
29,jurassic world,Action Adventure Sci-Fi Thriller,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi Thriller
30,skyfall,Action Adventure Thriller,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Albert Finney Helen McCrory Rory Kinnear Sam Mendes Action Adventure Thriller
31,spider man 2,Action Adventure Fantasy Romance,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
32,iron man 3,Action Adventure Sci-Fi,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Sci-Fi
33,alice in wonderland,Adventure Family Fantasy,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Johnny Depp Alan Rickman Anne Hathaway Tim Burton Adventure Family Fantasy
34,10 men the last stand,Action Adventure Fantasy Sci-Fi Thriller,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi Thriller
35,monsters university,Adventure Animation Comedy Family Fantasy,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family Fantasy
36,transformers revenge of the fallen,Action Adventure Sci-Fi,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action Adventure Sci-Fi
37,transformers age of extinction,Action Adventure Sci-Fi,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-Fi
38,oz the great and powerful,Adventure Family Fantasy,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Tim Holmes Mila Kunis James Franco Sam Raimi Adventure Family Fantasy
39,the amazing spider man 2,Action Adventure Fantasy Sci-Fi,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action Adventure Fantasy Sci-Fi
40,tron legacy,Action Adventure Sci-Fi,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Jeff Bridges Olivia Wilde James Frain Joseph Kosinski Action Adventure Sci-Fi
41,cars 2,Adventure Animation Comedy Family Sport,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure Animation Comedy Family Sport
42,green lantern,Action Adventure Sci-Fi,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action Adventure Sci-Fi
43,toy story 3,Adventure Animation Comedy Family Fantasy,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure Animation Comedy Family Fantasy
44,terminator salvation,Action Adventure Sci-Fi,McG,Christian Bale,Bryce Dallas Howard,Common,Christian Bale Bryce Dallas Howard Common McG Action Adventure Sci-Fi
45,furious 7,Action Crime Thriller,James Wan,Jason Statham,Paul Walker,Vin Diesel,Jason Statham Paul Walker Vin Diesel James Wan Action Crime Thriller
46,world war z,Action Adventure Horror Sci-Fi Thriller,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action Adventure Horror Sci-Fi Thriller
47,10 men days of future past,Action Adventure Fantasy Sci-Fi Thriller,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
48,star trek into darkness,Action Adventure Sci-Fi,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action Adventure Sci-Fi
49,jack the giant slayer,Adventure Fantasy,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure Fantasy
50,the great gatsby,Drama Romance,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Leonardo DiCaprio Elizabeth Debicki Steve Bisley Baz Luhrmann Drama Romance
51,prince of persia the sands of time,Action Adventure Fantasy Romance,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action Adventure Fantasy Romance
52,pacific rim,Action Adventure Sci-Fi,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action Adventure Sci-Fi
53,transformers dark of the moon,Action Adventure Sci-Fi,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action Adventure Sci-Fi
54,indiana jones and the kingdom of the crystal skull,Action Adventure Fantasy,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action Adventure Fantasy
55,the good dinosaur,Adventure Animation Comedy Family Fantasy,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure Animation Comedy Family Fantasy
56,brave,Adventure Animation Comedy Family Fantasy,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure Animation Comedy Family Fantasy
57,star trek beyond,Action Adventure Sci-Fi Thriller,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action Adventure Sci-Fi Thriller
58,wall·e,Adventure Animation Family Sci-Fi,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure Animation Family Sci-Fi
59,rush hour 3,Action Comedy Crime Thriller,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action Comedy Crime Thriller
60,2012,Action Adventure Sci-Fi,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action Adventure Sci-Fi
61,a christmas carol,Animation Drama Family Fantasy,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation Drama Family Fantasy
62,jupiter ascending,Action Adventure Sci-Fi,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action Adventure Sci-Fi
63,the legend of tarzan,Action Adventure Drama Romance,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama Romance
64,"the chronicles of narnia the lion, the witch and the wardrobe",Adventure Family Fantasy,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure Family Fantasy
65,10 men apocalypse,Action Adventure Sci-Fi,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action Adventure Sci-Fi
66,the dark knight,Action Crime Drama Thriller,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action Crime Drama Thriller
67,up,Adventure Animation Comedy Family,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure Animation Comedy Family
68,monsters vs. aliens,Action Adventure Animation Comedy Family Sci-Fi,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-Fi
69,iron man,Action Adventure Sci-Fi,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-Fi
70,hugo,Adventure Drama Family Mystery,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family Mystery
71,wild wild west,Action Comedy Sci-Fi Western,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi Western
72,the mummy tomb of the dragon emperor,Action Adventure Fantasy Horror Thriller,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Jet Li Brendan Fraser Russell Wong Rob Cohen Action Adventure Fantasy Horror Thriller
73,suicide squad,Action Adventure Comedy Sci-Fi,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action Adventure Comedy Sci-Fi
74,evan almighty,Comedy Family Fantasy,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy Family Fantasy
75,edge of tomorrow,Action Adventure Sci-Fi,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action Adventure Sci-Fi
76,waterworld,Action Adventure Sci-Fi Thriller,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action Adventure Sci-Fi Thriller
77,g.i. joe the rise of cobra,Action Adventure Sci-Fi Thriller,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action Adventure Sci-Fi Thriller
78,inside out,Adventure Animation Comedy Drama Family Fantasy,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure Animation Comedy Drama Family Fantasy
79,the jungle book,Adventure Drama Family Fantasy,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Scarlett Johansson Bill Murray Garry Shandling Jon Favreau Adventure Drama Family Fantasy
80,iron man 2,Action Adventure Sci-Fi,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action Adventure Sci-Fi
81,snow white and the huntsman,Action Adventure Drama Fantasy,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action Adventure Drama Fantasy
82,maleficent,Action Adventure Family Fantasy Romance,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action Adventure Family Fantasy Romance
83,dawn of the planet of the apes,Action Adventure Drama Sci-Fi,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action Adventure Drama Sci-Fi
84,the lovers,Action Adventure Romance Sci-Fi,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,Tamsin Egerton Alice Englert Bipasha Basu Roland Joffé Action Adventure Romance Sci-Fi
85,47 ronin,Action Adventure Drama Fantasy,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action Adventure Drama Fantasy
86,captain america the winter soldier,Action Adventure Sci-Fi,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action Adventure Sci-Fi
87,shrek forever after,Adventure Animation Comedy Family Fantasy,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure Animation Comedy Family Fantasy
88,tomorrowland,Action Adventure Family Mystery Sci-Fi,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action Adventure Family Mystery Sci-Fi
89,big hero 6,Action Adventure Animation Comedy Drama Family Sci-Fi,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi
90,wreck it ralph,Adventure Animation Comedy Family Sci-Fi,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure Animation Comedy Family Sci-Fi
91,the polar express,Adventure Animation Family Fantasy,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure Animation Family Fantasy
92,independence day resurgence,Action Adventure Sci-Fi,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action Adventure Sci-Fi
93,how to train your dragon,Adventure Animation Family Fantasy,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure Animation Family Fantasy
94,terminator 3 rise of the machines,Action Sci-Fi,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action Sci-Fi
95,guardians of the galaxy,Action Adventure Sci-Fi,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action Adventure Sci-Fi
96,interstellar,Adventure Drama Sci-Fi,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure Drama Sci-Fi
97,inception,Action Adventure Sci-Fi Thriller,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action Adventure Sci-Fi Thriller
98,godzilla resurgence,Action Adventure Drama Horror Sci-Fi,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Hideaki Anno Action Adventure Drama Horror Sci-Fi
99,the hobbit an unexpected journey,Adventure Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
100,the fast and the furious,Action Crime Thriller,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Paul Walker Vin Diesel Jordana Brewster Rob Cohen Action Crime Thriller
101,the curious case of benjamin button,Drama Fantasy Romance,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama Fantasy Romance
102,10 men first class,Action Adventure Sci-Fi,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action Adventure Sci-Fi
103,the hunger games mockingjay 2,Adventure Sci-Fi,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi
104,the sorcerer's apprentice,Action Adventure Family Fantasy,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action Adventure Family Fantasy
105,poseidon,Action Adventure Drama Thriller,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action Adventure Drama Thriller
106,alice through the looking glass,Adventure Family Fantasy,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure Family Fantasy
107,shrek the third,Adventure Animation Comedy Family Fantasy,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure Animation Comedy Family Fantasy
108,warcraft,Action Adventure Fantasy,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action Adventure Fantasy
109,terminator genisys,Action Adventure Sci-Fi,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action Adventure Sci-Fi
110,the chronicles of narnia the voyage of the dawn treader,Adventure Family Fantasy,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure Family Fantasy
111,pearl harbor,Action Drama History Romance War,Michael Bay,Jennifer Garner,Jaime King,Mako,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance War
112,transformers,Action Adventure Sci-Fi,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action Adventure Sci-Fi
113,alexander,Action Adventure Biography Drama History Romance War,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance War
114,harry potter and the order of the phoenix,Adventure Family Fantasy Mystery,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure Family Fantasy Mystery
115,harry potter and the goblet of fire,Adventure Family Fantasy Mystery,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure Family Fantasy Mystery
116,hancock,Action Drama,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Will Smith Charlize Theron Eddie Marsan Peter Berg Action Drama
117,1 am legend,Drama Horror Sci-Fi,Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Will Smith Alice Braga Willow Smith Francis Lawrence Drama Horror Sci-Fi
118,charlie and the chocolate factory,Adventure Comedy Family Fantasy,Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure Comedy Family Fantasy
119,ratatouille,Animation Comedy Family Fantasy,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation Comedy Family Fantasy
120,batman begins,Action Adventure,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action Adventure
121,madagascar escape 2 africa,Action Adventure Animation Comedy Family,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action Adventure Animation Comedy Family
122,night at the museum battle of the smithsonian,Adventure Comedy Family Fantasy,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
123,10 men origins wolverine,Action Adventure Fantasy Sci-Fi Thriller,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi Thriller
124,the matrix revolutions,Action Sci-Fi,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action Sci-Fi
125,frozen,Adventure Animation Comedy Family Fantasy Musical,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck Adventure Animation Comedy Family Fantasy Musical
126,the matrix reloaded,Action Sci-Fi,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action Sci-Fi
127,thor the dark world,Action Adventure Fantasy,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor Action Adventure Fantasy
128,mad max fury road,Action Adventure Sci-Fi Thriller,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Tom Hardy Charlize Theron Zoë Kravitz George Miller Action Adventure Sci-Fi Thriller
129,angels & demons,Mystery Thriller,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery Thriller
130,thor,Action Adventure Fantasy,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh Action Adventure Fantasy
131,bolt,Adventure Animation Comedy Drama Family,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard Adventure Animation Comedy Drama Family
132,g force,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman Action Adventure Animation Comedy Family Fantasy Sci-Fi
133,wrath of the titans,Action Adventure Fantasy,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman Action Adventure Fantasy
