,Title,genres,director_name,actor_name1,actor_name2,actor_name3,genres_director_actor
29,Last Looks,Action Crime Thriller,Tim Kirkby,Charlie Hunnam,Mel Gibson,Morena Baccarin,Charlie Hunnam Mel Gibson Morena Baccarin Tim Kirkby Action Crime Thriller
30,The Long Night,Horror,Rich Ragsdale,Scout Taylor-Compton,Nolan Gerard Funk,Jeff Fahey,Scout Taylor-Compton Nolan Gerard Funk Jeff Fahey Rich Ragsdale Horror
31,Kimi,Thriller,Steven Soderbergh,Zoë Kravitz,Rita Wilson,Byron Bowers,Zoë Kravitz Rita Wilson Byron Bowers Steven Soderbergh Thriller
32,Shut In,Thriller Horror Drama,D.J. Caruso,Rainey Qualley,Jake Horowitz,Luciana VanDette,Rainey Qualley Jake Horowitz Luciana VanDette D.J. Caruso Thriller Horror Drama
33,Death on the Nile,Mystery Drama Crime Thriller Action Adventure,Kenneth Branagh,Tom Bateman,Annette Bening,Kenneth Branagh,Tom Bateman Annette Bening Kenneth Branagh Kenneth Branagh Mystery Drama Crime Thriller Action Adventure
34,Marry Me,Romance Comedy Music,Kat Coiro,Jennifer Lopez,Owen Wilson,Maluma,Jennifer Lopez Owen Wilson Maluma Kat Coiro Romance Comedy Music
35,Blacklight,Action Thriller,Mark Williams,Liam Neeson,Emmy Raver-Lampman,Taylor John Smith,Liam Neeson Emmy Raver-Lampman Taylor John Smith Mark Williams Action Thriller
36,I Want You Back,Comedy Romance,Jason Orley,Charlie Day,Jenny Slate,Scott Eastwood,Charlie Day Jenny Slate Scott Eastwood Jason Orley Comedy Romance
37,Tall Girl 2,Comedy Romance,Emily Ting,Ava Michelle,Griffin Gluck,Sabrina Carpenter,Ava Michelle Griffin Gluck Sabrina Carpenter Emily Ting Comedy Romance
38,The Sky Is Everywhere,Drama Romance Music,Josephine Decker,Grace Kaufman,Pico Alexander,Jacques Colimon,Grace Kaufman Pico Alexander Jacques Colimon Josephine Decker Drama Romance Music
39,The In Between,Romance Science Fiction Drama,Arie Posin,Joey King,Kyle Allen,Kim Dickens,Joey King Kyle Allen Kim Dickens Arie Posin Romance Science Fiction Drama
40,Fistful of Vengeance,Action Fantasy,Roel Reiné,Iko Uwais,Lewis Tan,Lawrence Kao,Iko Uwais Lewis Tan Lawrence Kao Roel Reiné Action Fantasy
41,Uncharted,Action Adventure,Ruben Fleischer,Tom Holland,Mark Wahlberg,Sophia Ali,Tom Holland Mark Wahlberg Sophia Ali Ruben Fleischer Action Adventure
42,Dog,Drama Comedy,"Reid Carolin, Channing Tatum",Channing Tatum,Jane Adams,Kevin Nash,"Channing Tatum Jane Adams Kevin Nash Reid Carolin, Channing Tatum Drama Comedy"
43,Texas Chainsaw Massacre,Horror Thriller,David Blue Garcia,Sarah Yarkin,Elsie Fisher,Mark Burham,Sarah Yarkin Elsie Fisher Mark Burham David Blue Garcia Horror Thriller
44,The Cursed,Horror Fantasy Mystery,Sean Ellis,Boyd Holbrook,Kelly Reilly,Alistair Petrie,Boyd Holbrook Kelly Reilly Alistair Petrie Sean Ellis Horror Fantasy Mystery
45,A Fairy Tale After All,Adventure Family Fantasy,Erik Peter Carlson,Emily Shenaut,Brian Hull,Gabriel Burrafato,Emily Shenaut Brian Hull Gabriel Burrafato Erik Peter Carlson Adventure Family Fantasy
46,Cyrano,Drama Romance,Joe Wright,Peter Dinklage,Haley Bennett,Kelvin Harrison Jr.,Peter Dinklage Haley Bennett Kelvin Harrison Jr. Joe Wright Drama Romance
47,Studio 666,Horror Comedy Music,BJ McDonell,Dave Grohl,Taylor Hawkins,Nate Mendel,Dave Grohl Taylor Hawkins Nate Mendel BJ McDonell Horror Comedy Music
48,A Madea Homecoming,Comedy,Tyler Perry,Tyler Perry,Cassi Davis,David Mann,Tyler Perry Cassi Davis David Mann Tyler Perry Comedy
49,No Exit,Thriller Mystery,Damien Power,Havana Rose Liu,Danny Ramirez,Dennis Haysbert,Havana Rose Liu Danny Ramirez Dennis Haysbert Damien Power Thriller Mystery
50,Gasoline Alley,Action Thriller Crime Mystery,Edward John Drake,Bruce Willis,Luke Wilson,Devon Sawa,Bruce Willis Luke Wilson Devon Sawa Edward John Drake Action Thriller Crime Mystery
51,The Batman,Crime Mystery Thriller,Matt Reeves,Robert Pattinson,Zoë Kravitz,Paul Dano,Robert Pattinson Zoë Kravitz Paul Dano Matt Reeves Crime Mystery Thriller
52,After Yang,Science Fiction Drama,"Kogonada (writer/director); Colin Farrell, Jodie Turner-Smith, Justin H. Min, Malea Emma Tjandrawidjaja, Haley Lu Richardson, Ritchie Coster, Sarita Choudhury, Clifton Collins Jr.",Kogonada (writer/director); Colin Farrell,Jodie Turner-Smith,Justin H. Min,"Kogonada (writer/director); Colin Farrell Jodie Turner-Smith Justin H. Min Kogonada (writer/director); Colin Farrell, Jodie Turner-Smith, Justin H. Min, Malea Emma Tjandrawidjaja, Haley Lu Richardson, Ritchie Coster, Sarita Choudhury, Clifton Collins Jr. Science Fiction Drama"
53,Fresh,Horror Thriller Comedy,Mimi Cave,Daisy Edgar-Jones,Sebastian Stan,Jonica T. Gibbs,Daisy Edgar-Jones Sebastian Stan Jonica T. Gibbs Mimi Cave Horror Thriller Comedy
54,A Day to Die,Action Thriller Crime,Wes Miller,Kevin Dillon,Bruce Willis,Frank Grillo,Kevin Dillon Bruce Willis Frank Grillo Wes Miller Action Thriller Crime
55,The Adam Project,Adventure Science Fiction,Shawn Levy,Ryan Reynolds,Mark Ruffalo,Jennifer Garner,Ryan Reynolds Mark Ruffalo Jennifer Garner Shawn Levy Adventure Science Fiction
56,Turning Red,Animation Family Comedy Fantasy,Domee Shi,Rosalie Chiang,Sandra Oh,Ava Morse,Rosalie Chiang Sandra Oh Ava Morse Domee Shi Animation Family Comedy Fantasy
57,Tyson's Run,Drama,Kim Bass,Rory Cochrane,Amy Smart,Major Dodson,Rory Cochrane Amy Smart Major Dodson Kim Bass Drama
58,Rescued by Ruby,Family Drama,Katt Shea,Grant Gustin,Scott Wolf,Kaylah Zander,Grant Gustin Scott Wolf Kaylah Zander Katt Shea Family Drama
59,The Outfit,Crime,Graham Moore,Mark Rylance,Zoey Deutch,Johnny Flynn,Mark Rylance Zoey Deutch Johnny Flynn Graham Moore Crime
60,Deep Water,Drama Mystery Thriller,Adrian Lyne,Ben Affleck,Ana de Armas,Tracy Letts,Ben Affleck Ana de Armas Tracy Letts Adrian Lyne Drama Mystery Thriller
61,Cheaper by the Dozen,Family Comedy,Gail Lerner,Gabrielle Union,Zach Braff,Erika Christensen,Gabrielle Union Zach Braff Erika Christensen Gail Lerner Family Comedy
62,Windfall,Thriller Crime Drama,Charlie McDowell,Lily Collins,Jesse Plemons,Jason Segel,Lily Collins Jesse Plemons Jason Segel Charlie McDowell Thriller Crime Drama
63,X,Horror Mystery Thriller,Ti West,Mia Goth,Jenna Ortega,Martin Henderson,Mia Goth Jenna Ortega Martin Henderson Ti West Horror Mystery Thriller
64,Umma,Horror Mystery,Iris K. Shim,Sandra Oh,Fivel Stewart,MeeWha Alana Lee,Sandra Oh Fivel Stewart MeeWha Alana Lee Iris K. Shim Horror Mystery
65,Alice,Thriller Drama,Krystin Ver Linden,Keke Palmer,Common,Gaius Charles,Keke Palmer Common Gaius Charles Krystin Ver Linden Thriller Drama
66,Master,Horror Thriller Drama Mystery,Mariama Diallo,Regina Hall,Zoe Renee,Amber Gray,Regina Hall Zoe Renee Amber Gray Mariama Diallo Horror Thriller Drama Mystery
67,Measure of Revenge,Thriller,Peyfa,Bella Thorne,Melissa Leo,Roma Maffia,Bella Thorne Melissa Leo Roma Maffia Peyfa Thriller
68,The Lost City,Action Adventure Comedy,"Aaron Nee, Adam Nee (directors/screenplay); Oren Uziel, Dana Fox (screenplay); Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph, Brad Pitt",Sandra Bullock,Channing Tatum,Daniel Radcliffe,"Sandra Bullock Channing Tatum Daniel Radcliffe Aaron Nee, Adam Nee (directors/screenplay); Oren Uziel, Dana Fox (screenplay); Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph, Brad Pitt Action Adventure Comedy"
69,Everything Everywhere All at Once,Action Adventure Science Fiction,"Daniel Kwan, Daniel Scheinert (directors/screenplay); Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, Jenny Slate, Harry Shum Jr., James Hong, Jamie Lee Curtis",Michelle Yeoh,Stephanie Hsu,Ke Huy Quan,"Michelle Yeoh Stephanie Hsu Ke Huy Quan Daniel Kwan, Daniel Scheinert (directors/screenplay); Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, Jenny Slate, Harry Shum Jr., James Hong, Jamie Lee Curtis Action Adventure Science Fiction"
70,Infinite Storm,Thriller Adventure Drama,"Małgorzata Szumowska, Michał Englert",Naomi Watts,Billy Howle,Sophie Okonedo,"Naomi Watts Billy Howle Sophie Okonedo Małgorzata Szumowska, Michał Englert Thriller Adventure Drama"
71,7 Days,Romance Comedy,Roshan Sethi,Karan Soni,Geraldine Viswanathan,Mark Duplass,Karan Soni Geraldine Viswanathan Mark Duplass Roshan Sethi Romance Comedy
72,Moonshot,Comedy Romance Science Fiction,Chris Winterbauer,Cole Sprouse,Lana Condor,Mason Gooding,Cole Sprouse Lana Condor Mason Gooding Chris Winterbauer Comedy Romance Science Fiction
73,Morbius,Action Science Fiction Fantasy,Daniel Espinosa,Jared Leto,Matt Smith,Adria Arjona,Jared Leto Matt Smith Adria Arjona Daniel Espinosa Action Science Fiction Fantasy
74,The Bubble,Comedy,Judd Apatow,Karen Gillan,Iris Apatow,Fred Armisen,Karen Gillan Iris Apatow Fred Armisen Judd Apatow Comedy
75,The Contractor,Action Thriller,Tarik Saleh,Chris Pine,Ben Foster,Gillian Jacobs,Chris Pine Ben Foster Gillian Jacobs Tarik Saleh Action Thriller
76,Better Nate Than Ever,Music Family Comedy,Tim Federle,Rueby Wood,Joshua Bassett,Aria Brooks,Rueby Wood Joshua Bassett Aria Brooks Tim Federle Music Family Comedy
77,Apollo 10 1⁄2: A Space Age Childhood,,Richard Linklater,Glen Powell,Zachary Levi,Milo Coy,
78,Sonic the Hedgehog 2,Action Adventure Family Comedy,Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,James Marsden Ben Schwartz Tika Sumpter Jeff Fowler Action Adventure Family Comedy
79,Ambulance,Thriller Action,Michael Bay,Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González,Jake Gyllenhaal Yahya Abdul-Mateen II Eiza González Michael Bay Thriller Action
80,All the Old Knives,Thriller Action,Janus Metz Pedersen,Chris Pine,Thandiwe Newton,Laurence Fishburne,Chris Pine Thandiwe Newton Laurence Fishburne Janus Metz Pedersen Thriller Action
81,Metal Lords,Comedy Drama Music,Peter Sollett,Jaeden Martell,Isis Hainsworth,Adrian Greensmith,Jaeden Martell Isis Hainsworth Adrian Greensmith Peter Sollett Comedy Drama Music
82,Father Stu,Drama,Rosalind Ross,Mark Wahlberg,Mel Gibson,Jacki Weaver,Mark Wahlberg Mel Gibson Jacki Weaver Rosalind Ross Drama
83,Fantastic Beasts: The Secrets of Dumbledore,Fantasy Adventure Family,David Yates,Eddie Redmayne,Jude Law,Ezra Miller,Eddie Redmayne Jude Law Ezra Miller David Yates Fantasy Adventure Family
84,Dual,Science Fiction Comedy,Riley Stearns,Karen Gillan,Beulah Koale,Theo James,Karen Gillan Beulah Koale Theo James Riley Stearns Science Fiction Comedy
85,Choose or Die,Horror Thriller Science Fiction,Toby Meakins,Asa Butterfield,Iola Evans,Eddie Marsan,Asa Butterfield Iola Evans Eddie Marsan Toby Meakins Horror Thriller Science Fiction
86,Titanic 666,Thriller Horror,Nick Lyon,Keesha Sharp,Jamie Bamber,Lydia Hearst,Keesha Sharp Jamie Bamber Lydia Hearst Nick Lyon Thriller Horror
87,The Bad Guys,Animation Action Adventure Crime Comedy Family,Pierre Perifel,Sam Rockwell,Marc Maron,Craig Robinson,Sam Rockwell Marc Maron Craig Robinson Pierre Perifel Animation Action Adventure Crime Comedy Family
88,The Northman,Action Adventure Fantasy,Robert Eggers,Alexander Skarsgård,Nicole Kidman,Claes Bang,Alexander Skarsgård Nicole Kidman Claes Bang Robert Eggers Action Adventure Fantasy
89,The Unbearable Weight of Massive Talent,Action Comedy Crime,Tom Gormican,Nicolas Cage,Pedro Pascal,Sharon Horgan,Nicolas Cage Pedro Pascal Sharon Horgan Tom Gormican Action Comedy Crime
90,Polar Bear,Documentary,"Alastair Fothergill, Jeff Wilson",Alastair Fothergill,Jeff Wilson (directors); Catherine Keener,,
91,The Survivor,History Action Drama,Barry Levinson,Ben Foster,Vicky Krieps,Billy Magnussen,Ben Foster Vicky Krieps Billy Magnussen Barry Levinson History Action Drama
92,Memory,Action Thriller Crime,Martin Campbell,Liam Neeson,Guy Pearce,Monica Bellucci,Liam Neeson Guy Pearce Monica Bellucci Martin Campbell Action Thriller Crime
93,Crush,Comedy Romance,Sammi Cohen,Rowan Blanchard,Auliʻi Cravalho,Isabella Ferreira,Rowan Blanchard Auliʻi Cravalho Isabella Ferreira Sammi Cohen Comedy Romance
94,Fortress: Sniper's Eye,Action Thriller Crime,Josh Sternfeld,Jesse Metcalfe,Bruce Willis,Chad Michael Murray,Jesse Metcalfe Bruce Willis Chad Michael Murray Josh Sternfeld Action Thriller Crime
95,Green Ghost and the Masters of the Stone,Action Fantasy Comedy,Michael D. Olmos,Charlie Clark,Kuno Becker,Marko Zaror,Charlie Clark Kuno Becker Marko Zaror Michael D. Olmos Action Fantasy Comedy
96,Corrective Measures,Action Science Fiction Thriller,Sean O'Reilly,Bruce Willis,Michael Rooker,,
97,Doctor Strange in the Multiverse of Madness,Fantasy Action Adventure,Sam Raimi,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Benedict Cumberbatch Elizabeth Olsen Chiwetel Ejiofor Sam Raimi Fantasy Action Adventure
98,Along for the Ride,Romance Drama,Sofia Alvarez,Emma Pasarow,Belmont Cameli,Kate Bosworth,Emma Pasarow Belmont Cameli Kate Bosworth Sofia Alvarez Romance Drama
99,Marmaduke,Animation Family Comedy Adventure,Mark A.Z. Dippé,Pete Davidson,J. K. Simmons,David Koechner,Pete Davidson J. K. Simmons David Koechner Mark A.Z. Dippé Animation Family Comedy Adventure
100,Escape the Field,Thriller Horror,Emerson Moore,Jordan Claire Robbins,Theo Rossi,Tahirah Sharif,Jordan Claire Robbins Theo Rossi Tahirah Sharif Emerson Moore Thriller Horror
101,Operation Mincemeat,War History Drama,John Madden,Colin Firth,Matthew Macfadyen,Kelly Macdonald,Colin Firth Matthew Macfadyen Kelly Macdonald John Madden War History Drama
102,Senior Year,Comedy,Alex Hardcastle,Rebel Wilson,Sam Richardson,Zoë Chao,Rebel Wilson Sam Richardson Zoë Chao Alex Hardcastle Comedy
103,Firestarter,Science Fiction Thriller Horror,Keith Thomas,Zac Efron,Ryan Kiera Armstrong,Sydney Lemmon,Zac Efron Ryan Kiera Armstrong Sydney Lemmon Keith Thomas Science Fiction Thriller Horror
104,Sneakerella,Music Comedy Family,Elizabeth Allen Rosenbaum,Chosen Jacobs,Lexi Underwood,John Salley,Chosen Jacobs Lexi Underwood John Salley Elizabeth Allen Rosenbaum Music Comedy Family
105,On the Count of Three,Comedy Drama,Jerrod Carmichael,Jerrod Carmichael,Christopher Abbott,Tiffany Haddish,Jerrod Carmichael Christopher Abbott Tiffany Haddish Jerrod Carmichael Comedy Drama
106,Private Property,Thriller Drama,Chadd Harbold,Ashley Benson,Shiloh Fernandez,Logan Miller,Ashley Benson Shiloh Fernandez Logan Miller Chadd Harbold Thriller Drama
107,Family Camp,Comedy Family,Brian Cates,Tommy Woodward,Eddie James,Leigh-Allyn Baker,Tommy Woodward Eddie James Leigh-Allyn Baker Brian Cates Comedy Family
108,Montana Story,Drama,"Scott McGehee, David Siegel (directors/screenplay); Haley Lu Richardson, Owen Teague",Haley Lu Richardson,Owen Teague,,
109,Vendetta,Action,Jared Cohn,Clive Standen,Theo Rossi,Mike Tyson,Clive Standen Theo Rossi Mike Tyson Jared Cohn Action
110,Downton Abbey: A New Era,Drama Romance,Simon Curtis,Hugh Bonneville,Elizabeth McGovern,Maggie Smith,Hugh Bonneville Elizabeth McGovern Maggie Smith Simon Curtis Drama Romance
111,Chip 'n Dale: Rescue Rangers,Animation Family Comedy Adventure Mystery,Akiva Schaffer,John Mulaney,Andy Samberg,Will Arnett,John Mulaney Andy Samberg Will Arnett Akiva Schaffer Animation Family Comedy Adventure Mystery
112,Good Mourning,Comedy,"Colson Baker, Mod Sun (directors/screenplay); Colson Baker, Mod Sun, Becky G, Dove Cameron, Pete Davidson, Whitney Cummings, Megan Fox",Colson Baker,Mod Sun,Becky G,"Colson Baker Mod Sun Becky G Colson Baker, Mod Sun (directors/screenplay); Colson Baker, Mod Sun, Becky G, Dove Cameron, Pete Davidson, Whitney Cummings, Megan Fox Comedy"
113,The Valet,Comedy Romance,Richard Wong,Eugenio Derbez,Samara Weaving,,
114,Emergency,Comedy Drama Thriller,Carey Williams,RJ Cyler,Sabrina Carpenter,,
115,Top Gun: Maverick,Action Drama,Joseph Kosinski,Tom Cruise,Miles Teller,Jennifer Connelly,Tom Cruise Miles Teller Jennifer Connelly Joseph Kosinski Action Drama
116,The Bob's Burgers Movie,Animation Adventure Comedy,"Loren Bouchard, Bernard Derriman",H. Jon Benjamin,Dan Mintz,Eugene Mirman,"H. Jon Benjamin Dan Mintz Eugene Mirman Loren Bouchard, Bernard Derriman Animation Adventure Comedy"
117,Zero Contact,Science Fiction Thriller,Rick Dugdale,Anthony Hopkins,Chris Brochu,Aleks Paunovic,Anthony Hopkins Chris Brochu Aleks Paunovic Rick Dugdale Science Fiction Thriller
118,A Chiara,Drama,Jonas Carpignano,Swamy Rotolo,Claudio Rotolo,Carmela Fumo,Swamy Rotolo Claudio Rotolo Carmela Fumo Jonas Carpignano Drama
119,South Park The Streaming Wars,Animation Comedy,Trey Parker,Trey Parker,Matt Stone,April Stewart,Trey Parker Matt Stone April Stewart Trey Parker Animation Comedy
120,Hollywood Stargirl,Comedy Romance Music,Julia Hart,Elijah Richardson,Grace VanderWaal,Tyrel Jackson Williams,Elijah Richardson Grace VanderWaal Tyrel Jackson Williams Julia Hart Comedy Romance Music
121,Crimes of the Future,Horror Science Fiction,David Cronenberg,Viggo Mortensen,Léa Seydoux,Kristen Stewart,Viggo Mortensen Léa Seydoux Kristen Stewart David Cronenberg Horror Science Fiction
122,Benediction,Drama History War,Terence Davies,Jack Lowden,Peter Capaldi,Simon Russell Beale,Jack Lowden Peter Capaldi Simon Russell Beale Terence Davies Drama History War
123,Interceptor,Action Thriller Adventure,Matthew Reilly,Elsa Pataky,Luke Bracey,,
124,Fire Island,Comedy Romance,Andrew Ahn,Joel Kim Booster,Bowen Yang,Conrad Ricamora,Joel Kim Booster Bowen Yang Conrad Ricamora Andrew Ahn Comedy Romance
125,Watcher,Mystery Thriller Horror,Chloe Okuno,Maika Monroe,Karl Glusman,Burn Gorman,Maika Monroe Karl Glusman Burn Gorman Chloe Okuno Mystery Thriller Horror
126,Dashcam,Horror Thriller Comedy,Rob Savage,Annie Hardy,,,
127,White Elephant,Action Crime Thriller,Jesse V. Johnson,Michael Rooker,Bruce Willis,Olga Kurylenko,Michael Rooker Bruce Willis Olga Kurylenko Jesse V. Johnson Action Crime Thriller
128,Hustle,Drama Comedy,Jeremiah Zagar,Adam Sandler,Queen Latifah,Ben Foster,Adam Sandler Queen Latifah Ben Foster Jeremiah Zagar Drama Comedy
129,Jurassic World Dominion,Adventure Action Science Fiction,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Laura Dern,Chris Pratt Bryce Dallas Howard Laura Dern Colin Trevorrow Adventure Action Science Fiction
130,Jennifer Lopez: Halftime,Documentary Music,Amanda Micheli,Amanda Micheli (director); Jennifer Lopez,,,
131,Father of the Bride,Romance Comedy,Gaz Alazraki,Andy García,Gloria Estefan,Adria Arjona,Andy García Gloria Estefan Adria Arjona Gaz Alazraki Romance Comedy
132,Lightyear,Animation Action Adventure Family Science Fiction,Angus MacLane,Chris Evans,Keke Palmer,Peter Sohn,Chris Evans Keke Palmer Peter Sohn Angus MacLane Animation Action Adventure Family Science Fiction
133,Spiderhead,Science Fiction Thriller,Joseph Kosinski,Chris Hemsworth,Miles Teller,Jurnee Smollett,Chris Hemsworth Miles Teller Jurnee Smollett Joseph Kosinski Science Fiction Thriller
134,Jerry & Marge Go Large,Comedy Drama,David Frankel,Bryan Cranston,Annette Bening,Rainn Wilson,Bryan Cranston Annette Bening Rainn Wilson David Frankel Comedy Drama
135,Cha Cha Real Smooth,Comedy Drama Romance,Cooper Raiff,Cooper Raiff,Dakota Johnson,Raúl Castillo,Cooper Raiff Dakota Johnson Raúl Castillo Cooper Raiff Comedy Drama Romance
136,Mid-Century,Horror Thriller,Sonja O'Hara,Shane West,Sarah Hay,Bruce Dern,Shane West Sarah Hay Bruce Dern Sonja O'Hara Horror Thriller
137,Abandoned,Horror Mystery Thriller,Spencer Squire,Emma Roberts,John Gallagher Jr.,Michael Shannon,Emma Roberts John Gallagher Jr. Michael Shannon Spencer Squire Horror Mystery Thriller
138,Beavis and Butt-Head Do the Universe,Animation Comedy Science Fiction,Mike Judge,Mike Judge,Gary Cole,Chris Diamantopoulos,Mike Judge Gary Cole Chris Diamantopoulos Mike Judge Animation Comedy Science Fiction
139,Elvis,Drama Music History,Baz Luhrmann,Austin Butler,Tom Hanks,Olivia DeJonge,Austin Butler Tom Hanks Olivia DeJonge Baz Luhrmann Drama Music History
140,The Black Phone,Horror Thriller,Scott Derrickson,Ethan Hawke,Mason Thames,Madeleine McGraw,Ethan Hawke Mason Thames Madeleine McGraw Scott Derrickson Horror Thriller
141,The Man from Toronto,Action Adventure Comedy,Patrick Hughes,Kevin Hart,Woody Harrelson,Kaley Cuoco,Kevin Hart Woody Harrelson Kaley Cuoco Patrick Hughes Action Adventure Comedy
142,The Sea Beast,Animation Adventure Family Fantasy,Chris Williams,Karl Urban,Zaris-Angel Hator,Jared Harris,Karl Urban Zaris-Angel Hator Jared Harris Chris Williams Animation Adventure Family Fantasy
143,Marcel the Shell with Shoes On,Animation Comedy Family Drama Adventure,Dean Fleischer-Camp,Jenny Slate,Rosa Salazar,Thomas Mann,Jenny Slate Rosa Salazar Thomas Mann Dean Fleischer-Camp Animation Comedy Family Drama Adventure
144,Rise,Drama,Akin Omotoso,Uche Agada,Ral Agada,Jaden Osimuwa,Uche Agada Ral Agada Jaden Osimuwa Akin Omotoso Drama
145,Press Play,Music Romance Fantasy Drama Science Fiction,Greg Björkman,Clara Rugaard,Lewis Pullman,Lyrica Okano,Clara Rugaard Lewis Pullman Lyrica Okano Greg Björkman Music Romance Fantasy Drama Science Fiction
146,Beauty,Romance Drama Music,Andrew Dosunmu,Gracie Marie Bradley,Niecy Nash,Aleyse Shannon,Gracie Marie Bradley Niecy Nash Aleyse Shannon Andrew Dosunmu Romance Drama Music
147,Minions: The Rise of Gru,Animation Comedy Family,Kyle Balda,Steve Carell,Taraji P. Henson,Michelle Yeoh,Steve Carell Taraji P. Henson Michelle Yeoh Kyle Balda Animation Comedy Family
148,The Forgiven,Drama,John Michael McDonagh,Ralph Fiennes,Jessica Chastain,Matt Smith,Ralph Fiennes Jessica Chastain Matt Smith John Michael McDonagh Drama
149,Mr. Malcolm's List,Comedy Drama Romance,Emma Holly Jones,Freida Pinto,Sope Dirisu,Oliver Jackson-Cohen,Freida Pinto Sope Dirisu Oliver Jackson-Cohen Emma Holly Jones Comedy Drama Romance
