,Title,genres,director_name,actor_name1,actor_name2,actor_name3,genres_director_actor
29,Minari,Drama,Lee Isaac Chung,Steven Yeun,Han Ye-ri,Alan Kim,Steven Yeun Han Ye-ri Alan Kim Lee Isaac Chung Drama
30,To All the Boys: Always and Forever,Romance Comedy Drama,Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,Lana Condor Noah Centineo Jordan Fisher Michael Fimognari Romance Comedy Drama
31,The World to Come,Romance Drama Western,Mona Fastvold,Katherine Waterston,Vanessa Kirby,Christopher Abbott,Katherine Waterston Vanessa Kirby Christopher Abbott Mona Fastvold Romance Drama Western
32,French Exit,Drama Comedy,Azazel Jacobs,Michelle Pfeiffer,Lucas Hedges,Tracy Letts,Michelle Pfeiffer Lucas Hedges Tracy Letts Azazel Jacobs Drama Comedy
33,Land,Drama,Robin Wright,Robin Wright,Demián Bichir,Kim Dickens,Robin Wright Demián Bichir Kim Dickens Robin Wright Drama
34,Willy's Wonderland,Action Horror Comedy,Kevin Lewis,Nicolas Cage,Emily Tosta,Ric Reitz,Nicolas Cage Emily Tosta Ric Reitz Kevin Lewis Action Horror Comedy
35,The Map of Tiny Perfect Things,Fantasy Romance,Ian Samuels,Kathryn Newton,Kyle Allen,Al Madrigal,Kathryn Newton Kyle Allen Al Madrigal Ian Samuels Fantasy Romance
36,Fear of Rain,Thriller Horror Drama,Castille Landon,Katherine Heigl,Madison Iseman,Israel Broussard,Katherine Heigl Madison Iseman Israel Broussard Castille Landon Thriller Horror Drama
37,I Care a Lot,Comedy Crime Thriller Drama,J Blakeson,Rosamund Pike,Peter Dinklage,Eiza González,Rosamund Pike Peter Dinklage Eiza González J Blakeson Comedy Crime Thriller Drama
38,Flora & Ulysses,Family Adventure Comedy Fantasy,Lena Khan,Matilda Lawler,Alyson Hannigan,Ben Schwartz,Matilda Lawler Alyson Hannigan Ben Schwartz Lena Khan Family Adventure Comedy Fantasy
39,Silk Road,Crime Thriller,Tiller Russell,Jason Clarke,Nick Robinson,Katie Aselton,Jason Clarke Nick Robinson Katie Aselton Tiller Russell Crime Thriller
40,Tom & Jerry,Comedy Family Animation,Tim Story,Chloë Grace Moretz,Michael Peña,Colin Jost,Chloë Grace Moretz Michael Peña Colin Jost Tim Story Comedy Family Animation
41,The United States vs. Billie Holiday,Music Drama History,Lee Daniels,Andra Day,Trevante Rhodes,Garrett Hedlund,Andra Day Trevante Rhodes Garrett Hedlund Lee Daniels Music Drama History
42,Cherry,Drama Crime,Anthony and Joe Russo,Tom Holland,Ciara Bravo,Jack Reynor,Tom Holland Ciara Bravo Jack Reynor Anthony and Joe Russo Drama Crime
43,Crisis,Thriller Crime Drama,Nicholas Jarecki,Gary Oldman,Armie Hammer,Evangeline Lilly,Gary Oldman Armie Hammer Evangeline Lilly Nicholas Jarecki Thriller Crime Drama
44,Billie Eilish: The World's a Little Blurry,Documentary Music,R. J. Cutler,Billie Eilish,Finneas O'Connell,Maggie Baird,Billie Eilish Finneas O'Connell Maggie Baird R. J. Cutler Documentary Music
45,The Vigil,Horror Thriller Mystery,Keith Thomas,Dave Davis,Menashe Lustig,Malky Goldman,Dave Davis Menashe Lustig Malky Goldman Keith Thomas Horror Thriller Mystery
46,Moxie,Comedy Drama Music,Amy Poehler,Hadley Robinson,Lauren Tsai,Patrick Schwarzenegger,Hadley Robinson Lauren Tsai Patrick Schwarzenegger Amy Poehler Comedy Drama Music
47,Coming 2 America,Comedy,Craig Brewer,Eddie Murphy,Arsenio Hall,Jermaine Fowler,Eddie Murphy Arsenio Hall Jermaine Fowler Craig Brewer Comedy
48,The SpongeBob Movie: Sponge on the Run,Family Animation Fantasy Adventure Comedy,Tim Hill,Tom Kenny,Awkwafina,Matt Berry,Tom Kenny Awkwafina Matt Berry Tim Hill Family Animation Fantasy Adventure Comedy
49,Raya and the Last Dragon,Animation Family Fantasy Action Adventure,"Don Hall, Carlos López Estrada",Kelly Marie Tran,Awkwafina,Izaac Wang,"Kelly Marie Tran Awkwafina Izaac Wang Don Hall, Carlos López Estrada Animation Family Fantasy Action Adventure"
50,Chaos Walking,Fantasy Science Fiction Adventure,Doug Liman,Daisy Ridley,Tom Holland,Mads Mikkelsen,Daisy Ridley Tom Holland Mads Mikkelsen Doug Liman Fantasy Science Fiction Adventure
51,Boss Level,Action Science Fiction Thriller,Joe Carnahan,Frank Grillo,Mel Gibson,Naomi Watts,Frank Grillo Mel Gibson Naomi Watts Joe Carnahan Action Science Fiction Thriller
52,Boogie,Drama,Eddie Huang,Taylor Takahashi,Taylour Paige,Jorge Lendeborg Jr.,Taylor Takahashi Taylour Paige Jorge Lendeborg Jr. Eddie Huang Drama
53,Yes Day,Comedy Family,Miguel Arteta,Jennifer Garner,Édgar Ramírez,Jenna Ortega,Jennifer Garner Édgar Ramírez Jenna Ortega Miguel Arteta Comedy Family
54,Long Weekend,Horror Mystery Thriller,Steve Basilone,Finn Wittrock,Zoë Chao,Casey Wilson,Finn Wittrock Zoë Chao Casey Wilson Steve Basilone Horror Mystery Thriller
55,Cosmic Sin,Action Adventure Science Fiction,Edward Drake,Bruce Willis,Frank Grillo,Brandon Thomas Lee,Bruce Willis Frank Grillo Brandon Thomas Lee Edward Drake Action Adventure Science Fiction
56,Trust,Crime Drama Thriller,Brian DeCubellis,Victoria Justice,Matthew Daddario,Katherine McNamara,Victoria Justice Matthew Daddario Katherine McNamara Brian DeCubellis Crime Drama Thriller
57,Zack Snyder's Justice League,Action Adventure Fantasy Science Fiction,Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,Ben Affleck Henry Cavill Amy Adams Zack Snyder Action Adventure Fantasy Science Fiction
58,The Courier,Thriller History Drama Action,Dominic Cooke,Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan,Benedict Cumberbatch Merab Ninidze Rachel Brosnahan Dominic Cooke Thriller History Drama Action
59,City of Lies,Crime Thriller Drama,Brad Furman,Johnny Depp,Forest Whitaker,,
60,Happily,Comedy Romance Science Fiction Thriller,BenDavid Grabinski,Joel McHale,Kerry Bishé,Stephen Root,Joel McHale Kerry Bishé Stephen Root BenDavid Grabinski Comedy Romance Science Fiction Thriller
61,Nobody,Action Crime Thriller,Ilya Naishuller,Bob Odenkirk,Connie Nielsen,Aleksei Serebryakov,Bob Odenkirk Connie Nielsen Aleksei Serebryakov Ilya Naishuller Action Crime Thriller
62,Bad Trip,Comedy,Kitao Sakurai,Eric André,Lil Rel Howery,Tiffany Haddish,Eric André Lil Rel Howery Tiffany Haddish Kitao Sakurai Comedy
63,The Seventh Day,Horror,Justin P. Lange,Guy Pearce,Vadhir Derbez,Stephen Lang,Guy Pearce Vadhir Derbez Stephen Lang Justin P. Lange Horror
64,Senior Moment,Comedy Romance,Giorgio Serafini,William Shatner,Jean Smart,Christopher Lloyd,William Shatner Jean Smart Christopher Lloyd Giorgio Serafini Comedy Romance
65,Godzilla vs. Kong,Action Fantasy Science Fiction,Adam Wingard,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,Alexander Skarsgård Millie Bobby Brown Rebecca Hall Adam Wingard Action Fantasy Science Fiction
66,Concrete Cowboy,Drama Western,Ricky Staub,Idris Elba,Caleb McLaughlin,Jharrel Jerome,Idris Elba Caleb McLaughlin Jharrel Jerome Ricky Staub Drama Western
67,The Unholy,Horror Mystery,Evan Spiliotopoulos,Jeffrey Dean Morgan,Katie Aselton,William Sadler,Jeffrey Dean Morgan Katie Aselton William Sadler Evan Spiliotopoulos Horror Mystery
68,Every Breath You Take,Thriller,Vaughn Stein,Casey Affleck,Sam Claflin,Veronica Ferres,Casey Affleck Sam Claflin Veronica Ferres Vaughn Stein Thriller
69,Shiva Baby,Comedy Drama,Emma Seligman,Rachel Sennott,Molly Gordon,Polly Draper,Rachel Sennott Molly Gordon Polly Draper Emma Seligman Comedy Drama
70,The Girl Who Believes in Miracles,Family Drama,Richard Correll,Mira Sorvino,Austyn Johnson,Kevin Sorbo,Mira Sorvino Austyn Johnson Kevin Sorbo Richard Correll Family Drama
71,The Believer,Drama,Shan Serafin,Aidan Bristow,Sophie Kargman,Susan Wilder,Aidan Bristow Sophie Kargman Susan Wilder Shan Serafin Drama
72,Dawn of the Beast,Horror Thriller,Bruce Wemple,Francesca Anderson,Adrián Burke,Chris Cimperman,Francesca Anderson Adrián Burke Chris Cimperman Bruce Wemple Horror Thriller
73,Voyagers,Science Fiction Thriller,Neil Burger,Tye Sheridan,Lily-Rose Depp,Fionn Whitehead,Tye Sheridan Lily-Rose Depp Fionn Whitehead Neil Burger Science Fiction Thriller
74,Thunder Force,Action Adventure Comedy Science Fiction,Ben Falcone,Melissa McCarthy,Octavia Spencer,Bobby Cannavale,Melissa McCarthy Octavia Spencer Bobby Cannavale Ben Falcone Action Adventure Comedy Science Fiction
75,Arlo the Alligator Boy,Animation Comedy Family,Ryan Crego,Michael J. Woodard,Mary Lambert,Haley Tju,Michael J. Woodard Mary Lambert Haley Tju Ryan Crego Animation Comedy Family
76,Monday,Drama Romance,Argyris Papadimitropoulos,Sebastian Stan,Denise Gough,Yorgos Pirpassopoulos,Sebastian Stan Denise Gough Yorgos Pirpassopoulos Argyris Papadimitropoulos Drama Romance
77,In the Earth,Horror Science Fiction Thriller,Ben Wheatley,Joel Fry,Reece Shearsmith,Hayley Squires,Joel Fry Reece Shearsmith Hayley Squires Ben Wheatley Horror Science Fiction Thriller
78,Stowaway,Thriller,Joe Penna,Anna Kendrick,Daniel Dae Kim,Shamier Anderson,Anna Kendrick Daniel Dae Kim Shamier Anderson Joe Penna Thriller
79,Mortal Kombat,Action Fantasy Adventure,Simon McQuoid,Lewis Tan,Jessica McNamee,Josh Lawson,Lewis Tan Jessica McNamee Josh Lawson Simon McQuoid Action Fantasy Adventure
80,The Mitchells vs. the Machines,Animation Adventure Comedy,Mike Rianda,Abbi Jacobson,Danny McBride,Maya Rudolph,Abbi Jacobson Danny McBride Maya Rudolph Mike Rianda Animation Adventure Comedy
81,Vanquish,Action Crime Thriller,George Gallo,Ruby Rose,Morgan Freeman,,
82,Together Together,Comedy,Nikole Beckwith,Ed Helms,Patti Harrison,Tig Notaro,Ed Helms Patti Harrison Tig Notaro Nikole Beckwith Comedy
83,We Broke Up,Romance Comedy,Jeff Rosenberg,William Jackson Harper,Aya Cash,,
84,The Deep Ones,Horror Science Fiction,Chad Ferrin,Gina La Piana,Robert Miano,Johann Urb,Gina La Piana Robert Miano Johann Urb Chad Ferrin Horror Science Fiction
85,Things Heard & Seen,Horror,Shari Springer Berman and Robert Pulcini,Amanda Seyfried,James Norton,Natalia Dyer,Amanda Seyfried James Norton Natalia Dyer Shari Springer Berman and Robert Pulcini Horror
86,Without Remorse,Adventure Action Thriller War,Stefano Sollima,Michael B. Jordan,Jamie Bell,Jodie Turner-Smith,Michael B. Jordan Jamie Bell Jodie Turner-Smith Stefano Sollima Adventure Action Thriller War
87,The Virtuoso,Thriller Crime,Nick Stagliano,Anson Mount,Abbie Cornish,Eddie Marsan,Anson Mount Abbie Cornish Eddie Marsan Nick Stagliano Thriller Crime
88,Four Good Days,Drama,Rodrigo García,Glenn Close,Mila Kunis,Stephen Root,Glenn Close Mila Kunis Stephen Root Rodrigo García Drama
89,Separation,Horror Drama,William Brent Bell,Rupert Friend,Mamie Gummer,Violet McGraw,Rupert Friend Mamie Gummer Violet McGraw William Brent Bell Horror Drama
90,The Resort,Horror,Taylor Chien,Brock O'Hurn,Avery Pascual,Michael Vlamis,Brock O'Hurn Avery Pascual Michael Vlamis Taylor Chien Horror
91,Wrath of Man,Action Adventure Crime Thriller,Guy Ritchie,Jason Statham,Holt McCallany,Jeffrey Donovan,Jason Statham Holt McCallany Jeffrey Donovan Guy Ritchie Action Adventure Crime Thriller
92,Monster,Crime Drama,Anthony Mandler,Kelvin Harrison Jr.,Jennifer Ehle,Tim Blake Nelson,Kelvin Harrison Jr. Jennifer Ehle Tim Blake Nelson Anthony Mandler Crime Drama
93,The Paper Tigers,Action Comedy,Tran Quoc Bao,Alain Uy,Ron Yuan,Mykel Shannon Jenkins,Alain Uy Ron Yuan Mykel Shannon Jenkins Tran Quoc Bao Action Comedy
94,Mainstream,Comedy Drama,Gia Coppola,Andrew Garfield,Maya Hawke,Nat Wolff,Andrew Garfield Maya Hawke Nat Wolff Gia Coppola Comedy Drama
95,The Water Man,Adventure,David Oyelowo,David Oyelowo,Rosario Dawson,Lonnie Chavis,David Oyelowo Rosario Dawson Lonnie Chavis David Oyelowo Adventure
96,Here Today,Comedy Drama,Billy Crystal,Billy Crystal,Tiffany Haddish,Penn Badgley,Billy Crystal Tiffany Haddish Penn Badgley Billy Crystal Comedy Drama
97,Above Suspicion,Thriller Drama TV Movie,Phillip Noyce,Jack Huston,Emilia Clarke,Thora Birch,Jack Huston Emilia Clarke Thora Birch Phillip Noyce Thriller Drama TV Movie
98,Reboot Camp,Comedy,Ivo Raza,David Koechner,Ed Begley Jr.,Chaz Bono,David Koechner Ed Begley Jr. Chaz Bono Ivo Raza Comedy
99,Benny Loves You,Horror Comedy,Karl Holt,Karl Holt,Claire Cartwright,David Wayman,Karl Holt Claire Cartwright David Wayman Karl Holt Horror Comedy
100,Oxygen,Crime Drama Mystery Thriller,Alexandre Aja,Mélanie Laurent,Mathieu Amalric,Malik Zidi,Mélanie Laurent Mathieu Amalric Malik Zidi Alexandre Aja Crime Drama Mystery Thriller
101,Army of the Dead,Action Crime Horror Thriller,Zack Snyder,Dave Bautista,Ella Purnell,Omari Hardwick,Dave Bautista Ella Purnell Omari Hardwick Zack Snyder Action Crime Horror Thriller
102,Those Who Wish Me Dead,Thriller Action,Taylor Sheridan,Angelina Jolie,Nicholas Hoult,Finn Little,Angelina Jolie Nicholas Hoult Finn Little Taylor Sheridan Thriller Action
103,The Woman in the Window,Drama Crime Mystery Thriller,Joe Wright,Amy Adams,Gary Oldman,Anthony Mackie,Amy Adams Gary Oldman Anthony Mackie Joe Wright Drama Crime Mystery Thriller
104,Spiral,Horror Mystery Thriller,Darren Lynn Bousman,Chris Rock,Max Minghella,Marisol Nichols,Chris Rock Max Minghella Marisol Nichols Darren Lynn Bousman Horror Mystery Thriller
105,Georgetown,Crime Drama,Christoph Waltz,Christoph Waltz,Vanessa Redgrave,Annette Bening,Christoph Waltz Vanessa Redgrave Annette Bening Christoph Waltz Crime Drama
106,Finding You,Romance Drama,Brian Baugh,Rose Reid,Jedidiah Goodacre,Katherine McNamara,Rose Reid Jedidiah Goodacre Katherine McNamara Brian Baugh Romance Drama
107,The Killing of Two Lovers,Drama Thriller,Robert Machoian,Clayne Crawford,Sepideh Moafi,Chris Coy,Clayne Crawford Sepideh Moafi Chris Coy Robert Machoian Drama Thriller
108,616 Wilford Lane,Horror Action,"Mark S. Allen, Dante Yore",John Littlefield,Eric Roberts,Alyson Gorske,"John Littlefield Eric Roberts Alyson Gorske Mark S. Allen, Dante Yore Horror Action"
109,Dream Horse,Comedy Drama,Euros Lyn,Toni Collette,Damian Lewis,Owen Teale,Toni Collette Damian Lewis Owen Teale Euros Lyn Comedy Drama
110,Blast Beat,Drama,Esteban Arango,Moisés Arias,Mateo Arias,Daniel Dae Kim,Moisés Arias Mateo Arias Daniel Dae Kim Esteban Arango Drama
111,A Quiet Place Part II,Science Fiction Thriller Horror,John Krasinski,Emily Blunt,Cillian Murphy,Millicent Simmonds,Emily Blunt Cillian Murphy Millicent Simmonds John Krasinski Science Fiction Thriller Horror
112,Cruella,Comedy Crime,Craig Gillespie,Emma Stone,Emma Thompson,Joel Fry,Emma Stone Emma Thompson Joel Fry Craig Gillespie Comedy Crime
113,Plan B,Action Comedy,Natalie Morales,Kuhoo Verma,Victoria Moroles,,
114,Changing the Game,Documentary,Michael Barnett,Mack Beggs,Sarah Rose Huckman,Terry Miller,Mack Beggs Sarah Rose Huckman Terry Miller Michael Barnett Documentary
115,Spirit Untamed,Animation Adventure Family Western,"Elaine Bogan, Ennio Torresan",Isabela Merced,Marsai Martin,Mckenna Grace,"Isabela Merced Marsai Martin Mckenna Grace Elaine Bogan, Ennio Torresan Animation Adventure Family Western"
116,The Conjuring: The Devil Made Me Do It,Horror Mystery Thriller,Michael Chaves,Patrick Wilson,Vera Farmiga,Ruairi O'Connor,Patrick Wilson Vera Farmiga Ruairi O'Connor Michael Chaves Horror Mystery Thriller
117,Gully,Drama Crime,Nabil Elderkin,Jacob Latimore,Charlie Plummer,Jonathan Majors,Jacob Latimore Charlie Plummer Jonathan Majors Nabil Elderkin Drama Crime
118,Flashback,Thriller,Christopher MacBride,Dylan O'Brien,Maika Monroe,Hannah Gross,Dylan O'Brien Maika Monroe Hannah Gross Christopher MacBride Thriller
119,Under the Stadium Lights,Drama,Todd Randall,Milo Gibson,Laurence Fishburne,Glenn Morshower,Milo Gibson Laurence Fishburne Glenn Morshower Todd Randall Drama
120,Grace and Grit,Drama Comedy Romance,Sebastian Siegel,Mena Suvari,Stuart Townsend,Frances Fisher,Mena Suvari Stuart Townsend Frances Fisher Sebastian Siegel Drama Comedy Romance
121,Awake,Drama Science Fiction Thriller,Mark Raso,Gina Rodriguez,Jennifer Jason Leigh,Barry Pepper,Gina Rodriguez Jennifer Jason Leigh Barry Pepper Mark Raso Drama Science Fiction Thriller
122,Infinite,Science Fiction Action Thriller,Antoine Fuqua,Mark Wahlberg,Chiwetel Ejiofor,Sophie Cookson,Mark Wahlberg Chiwetel Ejiofor Sophie Cookson Antoine Fuqua Science Fiction Action Thriller
123,Peter Rabbit 2: The Runaway,Family Comedy Adventure Animation Fantasy,Will Gluck,James Corden,Rose Byrne,Domhnall Gleeson,James Corden Rose Byrne Domhnall Gleeson Will Gluck Family Comedy Adventure Animation Fantasy
124,In the Heights,Drama Music Romance,Jon M. Chu,Anthony Ramos,Corey Hawkins,Leslie Grace,Anthony Ramos Corey Hawkins Leslie Grace Jon M. Chu Drama Music Romance
125,Wish Dragon,Animation Family Comedy Fantasy,Chris Appelhans,Jimmy Wong,John Cho,Constance Wu,Jimmy Wong John Cho Constance Wu Chris Appelhans Animation Family Comedy Fantasy
126,The Misfits,Action Thriller,Renny Harlin,Pierce Brosnan,Rami Jaber,Hermione Corfield,Pierce Brosnan Rami Jaber Hermione Corfield Renny Harlin Action Thriller
127,12 Mighty Orphans,History Drama Action,Ty Roberts,Luke Wilson,Vinessa Shaw,Wayne Knight,Luke Wilson Vinessa Shaw Wayne Knight Ty Roberts History Drama Action
128,The House Next Door: Meet the Blacks 2,Comedy Horror,Deon Taylor,Mike Epps,Katt Williams,Bresha Webb,Mike Epps Katt Williams Bresha Webb Deon Taylor Comedy Horror
129,Queen Bees,Romance Comedy,Michael Lembeck,Ellen Burstyn,James Caan,Ann-Margret,Ellen Burstyn James Caan Ann-Margret Michael Lembeck Romance Comedy
130,DOMINO: Battle of the Bones,Comedy,"Baron Davis, Carl Reid, Steven V. Vasquez Jr.",David Arquette,Snoop Dogg,Tom Lister Jr.,"David Arquette Snoop Dogg Tom Lister Jr. Baron Davis, Carl Reid, Steven V. Vasquez Jr. Comedy"
131,Hitman's Wife's Bodyguard,Action Comedy Crime Thriller,Patrick Hughes,Ryan Reynolds,Samuel L. Jackson,Salma Hayek,Ryan Reynolds Samuel L. Jackson Salma Hayek Patrick Hughes Action Comedy Crime Thriller
132,Luca,Animation Comedy Fantasy Adventure Family,Enrico Casarosa,Jacob Tremblay,Jack Dylan Grazer,Emma Berman,Jacob Tremblay Jack Dylan Grazer Emma Berman Enrico Casarosa Animation Comedy Fantasy Adventure Family
133,Fatherhood,Drama Comedy,Paul Weitz,Kevin Hart,Alfre Woodard,Lil Rel Howery,Kevin Hart Alfre Woodard Lil Rel Howery Paul Weitz Drama Comedy
134,The Birthday Cake,Crime Thriller,Jimmy Giannopoulos,Shiloh Fernandez,Val Kilmer,Ewan McGregor,Shiloh Fernandez Val Kilmer Ewan McGregor Jimmy Giannopoulos Crime Thriller
135,Rita Moreno: Just a Girl Who Decided to Go for It,Documentary,Mariem Pérez Riera,Rita Moreno,Eva Longoria,George Chakiris,Rita Moreno Eva Longoria George Chakiris Mariem Pérez Riera Documentary
136,The Sparks Brothers,Documentary Music,Edgar Wright,Ron Mael,Russell Mael,,
137,Truman & Tennessee: An Intimate Conversation,Documentary,Lisa Immordino Vreeland,Jim Parsons,Zachary Quinto,,
138,Stalker,Horror Thriller,Tyler Savage,Christine Ko,Vincent van Horn,Michael Joplin,Christine Ko Vincent van Horn Michael Joplin Tyler Savage Horror Thriller
139,Love Spreads,Comedy Drama Music,Jamie Adams,Alia Shawkat,Eiza González,Chanel Cresswell,Alia Shawkat Eiza González Chanel Cresswell Jamie Adams Comedy Drama Music
140,A Crime on the Bayou,Documentary,Nancy Buirski,Gary Duncan,Richard Sobol,,
141,Good on Paper,Comedy Romance,Kimmy Gatewood,Iliza Shlesinger,Ryan Hansen,Margaret Cho,Iliza Shlesinger Ryan Hansen Margaret Cho Kimmy Gatewood Comedy Romance
142,F9,Action Adventure Crime Thriller,Justin Lin,Vin Diesel,John Cena,Michelle Rodriguez,Vin Diesel John Cena Michelle Rodriguez Justin Lin Action Adventure Crime Thriller
143,The Ice Road,Action Thriller,Jonathan Hensleigh,Liam Neeson,Benjamin Walker,Amber Midthunder,Liam Neeson Benjamin Walker Amber Midthunder Jonathan Hensleigh Action Thriller
144,Werewolves Within,Horror Comedy,Josh Ruben,Sam Richardson,Milana Vayntrub,George Basil,Sam Richardson Milana Vayntrub George Basil Josh Ruben Horror Comedy
145,False Positive,Horror Mystery Thriller,John Lee,Ilana Glazer,Justin Theroux,Sophia Bush,Ilana Glazer Justin Theroux Sophia Bush John Lee Horror Mystery Thriller
146,Lansky,Crime Drama Thriller,Eytan Rockaway,Harvey Keitel,Sam Worthington,AnnaSophia Robb,Harvey Keitel Sam Worthington AnnaSophia Robb Eytan Rockaway Crime Drama Thriller
147,I Carry You with Me,Drama,Heidi Ewing,Armando Espitia,Christian Vázquez,Michelle Rodríguez,Armando Espitia Christian Vázquez Michelle Rodríguez Heidi Ewing Drama
148,Mary J. Blige's My Life,Documentary Music,Vanessa Roth,Mary J. Blige,Taraji P. Henson,Alicia Keys,Mary J. Blige Taraji P. Henson Alicia Keys Vanessa Roth Documentary Music
149,Fathom,Documentary,Drew Xanthopoulos,Michelle Fournet,Ellen Garland,,
150,Rollers,Comedy,Isaiah Smallman,Isaiah Smallman (director); Johnny Ray Gill,Kate Cobb,Vicky Jeudy,Isaiah Smallman (director); Johnny Ray Gill Kate Cobb Vicky Jeudy Isaiah Smallman Comedy
